朝市,アサイチ
朝顔,アサガオ
朝方,アサガタ
朝御飯,アサゴハン
浅漬け,アサヅケ
あさって,アサッテ
朝寝坊,アサネボウ
朝晩,アサバン
朝日,アサヒ
朝夕,アサユウ
あさり,アサリ
歯振,アサリ
脚,アシ
味,アジ
あじ,アジ
アジア,アジア
足跡,アシアト
足音,アシオト
足掛かり,アシガカリ
足首,アシクビ
足腰,アシコシ
アシスタント,アシスタント
アシスト,アシスト
明日,アシタ
味付け,アジツケ
足取り,アシドリ
足場,アシバ
足踏み,アシブミ
味見,アジミ
足元,アシモト
味わい,アジワイ
明日,アス
小豆,アズキ
あずさ,アズサ
アスパラガス,アスパラガス
汗,アセ
焦り,アセリ
遊び,アソビ
あだ,アダ
値,アタイ
温かみ,アタタカミ
アタック,アタック
アダプター,アダプター
頭,アタマ
頭から,アタマカラ
頭金,アタマキン
辺り,アタリ
当たり,アタリ
当たり,アタリ
当たり障り,アタリサワリ
当たり前,アタリマエ
アダルト,アダルト
あちら,アチラ
あちこち,アチラコチラ
厚揚げ,アツアゲ
熱々,アツアツ
悪化,アッカ
扱い,アツカイ
厚紙,アツガミ
圧縮,アッシュク
圧勝,アッショウ
あっせん,アッセン
厚手,アツデ
圧倒,アットウ
圧迫,アッパク
アップ,アップ
アップリケ,アップリケ
アップル,アップル
アップルパイ,アップルパイ
集まり,アツマリ
厚み,アツミ
圧力,アツリョク
圧力鍋,アツリョクナベ
当て,アテ
宛て先,アテサキ
当て字,アテジ
あて名,アテナ
当て逃げ,アテニゲ
後,アト
跡,アト
後味,アトアジ
後々,アトアト
後片付け,アトカタヅケ
後先,アトサキ
後始末,アトシマツ
跡継ぎ,アトツギ
跡取り,アトトリ
アドバイザー,アドバイザー
アドバイス,アドバイス
アドベンチャー,アドベンチャー
後回し,アトマワシ
アトラクション,アトラクション
アドレス,アドレス
穴,アナ
穴埋め,アナウメ
アナウンサー,アナウンサ
アナウンサー,アナウンサー
アナウンス,アナウンス
穴場,アナバ
アナログ,アナログ
兄,アニ
兄貴,アニキ
兄弟子,アニデシ
アニマル,アニマル
アニメ,アニメ
アニメーション,アニメーション
姉,アネ
亜熱帯,アネッタイ
アパート,アパート
アパレル,アパレル
アピール,アピール
あひる,アヒル
アフガニスタン,アフガニスタン
アフター,アフター
アフターサービス,アフターサービス
アフタヌーン,アフタヌーン
油,アブラ
脂,アブラ
油揚げ,アブラアゲ
油絵,アブラエ
アフリカ,アフリカ
アプリケーション,アプリケーション
アプローチ,アプローチ
アベック,アベック
阿片,アヘン
阿呆,アホウ
アボカド,アボカド
尼,アマ
甘口,アマクチ
雨雲,アマグモ
甘酒,アマザケ
甘塩,アマジオ
甘酢,アマズ
アマチュア,アマチュア
雨戸,アマド
甘み,アマミ
雨水,アマミズ
雨漏り,アマモリ
余り,アマリ
余り,アマリ
余り物,アマリモノ
網,アミ
網棚,アミダナ
網戸,アミド
アミノ酸,アミノサン
網の目,アミノメ
